date,pb_winners,pp_winners,states,total_winners
11/8/2017,519,606,North Dakota,1125
11/8/2017,9219,2543,Ohio,11762
11/8/2017,2244,2149,Oklahoma,4393
11/8/2017,4891,1072,Oregon,5963
11/8/2017,15727,5480,Pennsylvania,21207
11/8/2017,1,3,Puerto Rico,4
11/8/2017,2097,688,Rhode Island,2785
11/8/2017,4303,3520,South Carolina,7823
11/8/2017,1116,407,South Dakota,1523
11/8/2017,6830,3362,Tennessee,10192
11/8/2017,18462,8709,Texas,27171
11/8/2017,495,430,Vermont,925
11/8/2017,0,0,Virgin Islands,0
11/8/2017,8755,2282,Virginia,11037
11/8/2017,5458,935,Washington,6393
11/8/2017,3207,720,West Virginia,3927
11/8/2017,7506,1637,Wisconsin,9143
11/8/2017,576,481,Wyoming,1057
11/4/2017,11264,2272,Arizona,13536
11/4/2017,1950,2028,Arkansas,3978
11/4/2017,50452,0,California,50452
11/4/2017,4582,4523,Colorado,9105
11/4/2017,6094,3651,Connecticut,9745
11/4/2017,2456,545,Delaware,3001
11/4/2017,1219,280,Dist. of Columbia,1499
11/4/2017,43352,14387,Florida,57739
11/4/2017,15965,2301,Georgia,18266
11/4/2017,3327,1086,Idaho,4413
11/4/2017,13664,2982,Illinois,16646
11/4/2017,10689,2761,Indiana,13450
11/4/2017,4724,2251,Iowa,6975
11/4/2017,5443,687,Kansas,6130
11/4/2017,8757,1707,Kentucky,10464
11/4/2017,8890,3442,Louisiana,12332
11/4/2017,1270,1441,Maine,2711
11/4/2017,10702,1857,Maryland,12559
11/4/2017,11594,1959,Massachusetts,13553
11/4/2017,14781,2099,Michigan,16880
11/4/2017,7625,932,Minnesota,8557
11/4/2017,11447,1211,Missouri,12658
11/4/2017,1058,695,Montana,1753
11/4/2017,4277,869,Nebraska,5146
11/4/2017,3700,817,New Hampshire,4517
11/4/2017,19604,3063,New Jersey,22667
11/4/2017,2774,1123,New Mexico,3897
11/4/2017,38069,4206,New York,42275
11/4/2017,13820,5986,North Carolina,19806
11/4/2017,580,746,North Dakota,1326
11/4/2017,11597,3946,Ohio,15543
11/4/2017,2855,2872,Oklahoma,5727
11/4/2017,6191,1224,Oregon,7415
11/4/2017,20006,7567,Pennsylvania,27573
11/4/2017,0,0,Puerto Rico,0
11/4/2017,2871,1016,Rhode Island,3887
11/4/2017,5777,5219,South Carolina,10996
11/4/2017,1252,558,South Dakota,1810
11/4/2017,9231,4821,Tennessee,14052
11/4/2017,24529,12386,Texas,36915
11/4/2017,650,565,Vermont,1215
11/4/2017,0,0,Virgin Islands,0
11/4/2017,11584,3300,Virginia,14884
11/4/2017,6077,1165,Washington,7242
11/4/2017,4059,950,West Virginia,5009
11/4/2017,8914,2120,Wisconsin,11034
11/4/2017,779,548,Wyoming,1327
11/1/2017,8576,1640,Arizona,10216
